测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,14,25,39,4.7,0,0,8.29,2025-03-20 11:07:08.710,2025-03-20 11:07:13.412,0
2,,14,25,39,4.75,0,0,8.21,2025-03-20 11:07:08.739,2025-03-20 11:07:13.490,0
3,,11,69,80,8.2,0,0,9.76,2025-03-20 11:07:08.883,2025-03-20 11:07:17.083,0
4,,11,88,99,9.51,0,0,10.41,2025-03-20 11:07:08.648,2025-03-20 11:07:18.158,0
5,,18,89,107,9.57,0,0,11.18,2025-03-20 11:07:08.666,2025-03-20 11:07:18.235,0
6,,16,87,103,9.6,0,0,10.73,2025-03-20 11:07:08.864,2025-03-20 11:07:18.467,0
7,,11,92,103,9.79,0,0,10.52,2025-03-20 11:07:08.674,2025-03-20 11:07:18.468,0
8,,24,92,116,9.82,0,0,11.81,2025-03-20 11:07:08.724,2025-03-20 11:07:18.544,0
9,,14,94,108,9.97,0,0,10.84,2025-03-20 11:07:08.719,2025-03-20 11:07:18.687,0
10,,14,94,108,10.08,0,0,10.71,2025-03-20 11:07:08.818,2025-03-20 11:07:18.901,0
11,,27,99,126,10.34,0,0,12.18,2025-03-20 11:07:08.700,2025-03-20 11:07:19.045,0
12,,32,103,135,10.65,0,0,12.68,2025-03-20 11:07:08.686,2025-03-20 11:07:19.332,0
13,,26,103,129,10.73,0,0,12.03,2025-03-20 11:07:08.821,2025-03-20 11:07:19.548,0
14,,30,333,363,27.92,0,0,13,2025-03-20 11:07:08.859,2025-03-20 11:07:36.781,0
15,,16,338,354,28.25,0,0,12.53,2025-03-20 11:07:08.816,2025-03-20 11:07:37.067,0
16,,24,372,396,30.53,0,0,12.97,2025-03-20 11:07:08.715,2025-03-20 11:07:39.246,0
17,,58,478,536,37.41,0,0,14.33,2025-03-20 11:07:08.781,2025-03-20 11:07:46.190,0
18,,19,547,566,41.52,0,0,13.63,2025-03-20 11:07:08.659,2025-03-20 11:07:50.179,0
19,,21,564,585,42.52,0,0,13.76,2025-03-20 11:07:08.743,2025-03-20 11:07:51.261,0
20,,18,577,595,43.22,0,0,13.77,2025-03-20 11:07:08.717,2025-03-20 11:07:51.936,0
21,,15,601,616,44.56,0,0,13.82,2025-03-20 11:07:08.693,2025-03-20 11:07:53.257,0
22,,33,639,672,46.59,0,0,14.42,2025-03-20 11:07:08.767,2025-03-20 11:07:55.356,0
23,,13,658,671,47.62,0,0,14.09,2025-03-20 11:07:08.745,2025-03-20 11:07:56.362,0
24,,88,664,752,47.92,0,0,15.69,2025-03-20 11:07:08.656,2025-03-20 11:07:56.575,0
25,,79,663,742,48.05,0,0,15.44,2025-03-20 11:07:08.741,2025-03-20 11:07:56.789,0
26,,194,694,888,49.83,0,0,17.82,2025-03-20 11:07:08.668,2025-03-20 11:07:58.503,0
27,,26,695,721,49.9,0,0,14.45,2025-03-20 11:07:08.762,2025-03-20 11:07:58.664,0
28,,76,697,773,50.21,0,0,15.39,2025-03-20 11:07:08.736,2025-03-20 11:07:58.950,0
29,,170,702,872,50.62,0,0,17.23,2025-03-20 11:07:08.653,2025-03-20 11:07:59.276,0
30,,138,697,835,50.84,0,0,16.43,2025-03-20 11:07:08.768,2025-03-20 11:07:59.603,0
31,,34,709,743,51.15,0,0,14.53,2025-03-20 11:07:08.761,2025-03-20 11:07:59.914,0
32,,77,713,790,51.51,0,0,15.34,2025-03-20 11:07:08.664,2025-03-20 11:08:00.172,0
33,,23,715,738,51.78,0,0,14.25,2025-03-20 11:07:08.694,2025-03-20 11:08:00.473,0
34,,110,721,831,52.09,0,0,15.95,2025-03-20 11:07:08.689,2025-03-20 11:08:00.784,0
35,,16,730,746,52.71,0,0,14.15,2025-03-20 11:07:08.744,2025-03-20 11:08:01.457,0
36,,16,747,763,53.58,0,0,14.24,2025-03-20 11:07:08.663,2025-03-20 11:08:02.246,0
37,,24,760,784,54.25,0,0,14.45,2025-03-20 11:07:08.680,2025-03-20 11:08:02.925,0
38,,18,791,809,55.86,0,0,14.48,2025-03-20 11:07:08.753,2025-03-20 11:08:04.611,0
39,,42,798,840,56.21,0,0,14.94,2025-03-20 11:07:08.656,2025-03-20 11:08:04.867,0
40,,14,819,833,57.49,0,0,14.49,2025-03-20 11:07:08.688,2025-03-20 11:08:06.173,0
41,,39,831,870,58.28,0,0,14.93,2025-03-20 11:07:08.747,2025-03-20 11:08:07.024,0
42,,23,838,861,58.63,0,0,14.68,2025-03-20 11:07:08.692,2025-03-20 11:08:07.326,0
43,,8,840,848,58.91,0,0,14.39,2025-03-20 11:07:08.656,2025-03-20 11:08:07.570,0
44,,85,850,935,59.62,0,0,15.68,2025-03-20 11:07:08.649,2025-03-20 11:08:08.265,0
45,,68,850,918,59.6,0,0,15.4,2025-03-20 11:07:08.662,2025-03-20 11:08:08.267,0
46,,43,849,892,59.72,0,0,14.94,2025-03-20 11:07:08.759,2025-03-20 11:08:08.480,0
47,,59,859,918,60.55,0,0,15.16,2025-03-20 11:07:08.702,2025-03-20 11:08:09.250,0
48,,208,866,1074,60.91,0,0,17.63,2025-03-20 11:07:08.645,2025-03-20 11:08:09.552,0
49,,28,867,895,61.1,0,0,14.65,2025-03-20 11:07:08.670,2025-03-20 11:08:09.775,0
50,,35,888,923,62.34,0,0,14.81,2025-03-20 11:07:08.704,2025-03-20 11:08:11.040,0
51,,201,893,1094,62.59,0,0,17.48,2025-03-20 11:07:08.654,2025-03-20 11:08:11.241,0
52,,49,892,941,62.71,0,0,15.01,2025-03-20 11:07:08.746,2025-03-20 11:08:11.452,0
53,,77,895,972,62.98,0,0,15.43,2025-03-20 11:07:08.706,2025-03-20 11:08:11.685,0
54,,76,901,977,63.44,0,0,15.4,2025-03-20 11:07:08.756,2025-03-20 11:08:12.196,0
55,,132,908,1040,63.96,0,0,16.26,2025-03-20 11:07:08.754,2025-03-20 11:08:12.712,0
56,,40,914,954,64.28,0,0,14.84,2025-03-20 11:07:08.682,2025-03-20 11:08:12.961,0
57,,20,929,949,65.23,0,0,14.55,2025-03-20 11:07:08.746,2025-03-20 11:08:13.980,0
58,,64,935,999,65.54,0,0,15.24,2025-03-20 11:07:08.742,2025-03-20 11:08:14.279,0
59,,52,943,995,66.11,0,0,15.05,2025-03-20 11:07:08.644,2025-03-20 11:08:14.751,0
60,,104,943,1047,66.22,0,0,15.81,2025-03-20 11:07:08.756,2025-03-20 11:08:14.975,0
61,,43,946,989,66.61,0,0,14.85,2025-03-20 11:07:08.667,2025-03-20 11:08:15.275,0
62,,284,945,1229,66.59,0,0,18.46,2025-03-20 11:07:08.690,2025-03-20 11:08:15.277,0
