测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,19,261,280,15.38,0,0,18.21,2025-03-20 16:46:34.087,2025-03-20 16:46:49.467,0
2,,61,359,420,20.57,0,0,20.42,2025-03-20 16:46:34.193,2025-03-20 16:46:54.764,0
3,,22,365,387,21.08,0,0,18.36,2025-03-20 16:46:34.014,2025-03-20 16:46:55.093,0
4,,81,369,450,21.28,0,0,21.14,2025-03-20 16:46:34.028,2025-03-20 16:46:55.312,0
5,,25,422,447,23.88,0,0,18.72,2025-03-20 16:46:34.140,2025-03-20 16:46:58.016,0
6,,16,442,458,24.86,0,0,18.42,2025-03-20 16:46:34.182,2025-03-20 16:46:59.042,0
7,,19,528,547,29.46,0,0,18.57,2025-03-20 16:46:34.059,2025-03-20 16:47:03.514,0
8,,23,546,569,30.37,0,0,18.74,2025-03-20 16:46:34.095,2025-03-20 16:47:04.462,0
9,,17,566,583,31.37,0,0,18.58,2025-03-20 16:46:34.145,2025-03-20 16:47:05.517,0
10,,27,569,596,31.6,0,0,18.86,2025-03-20 16:46:34.080,2025-03-20 16:47:05.675,-0.01
11,,27,601,628,33.24,0,0,18.89,2025-03-20 16:46:34.128,2025-03-20 16:47:07.367,0
12,,13,604,617,33.43,0,0,18.45,2025-03-20 16:46:34.093,2025-03-20 16:47:07.526,0
13,,97,615,712,34.01,0,0,20.93,2025-03-20 16:46:34.089,2025-03-20 16:47:08.103,0
14,,20,640,660,35.3,0,0,18.69,2025-03-20 16:46:34.109,2025-03-20 16:47:09.413,0
15,,40,670,710,36.89,0,0,19.25,2025-03-20 16:46:34.102,2025-03-20 16:47:10.992,0
16,,37,672,709,36.97,0,0,19.18,2025-03-20 16:46:34.132,2025-03-20 16:47:11.097,0
17,,28,674,702,37.2,0,0,18.87,2025-03-20 16:46:34.005,2025-03-20 16:47:11.203,0
18,,16,675,691,37.09,0,0,18.63,2025-03-20 16:46:34.165,2025-03-20 16:47:11.255,0
19,,20,678,698,37.26,0,0,18.74,2025-03-20 16:46:34.155,2025-03-20 16:47:11.412,0
20,,32,688,720,37.74,0,0,19.08,2025-03-20 16:46:34.190,2025-03-20 16:47:11.934,0
21,,182,697,879,38.23,0,0,22.99,2025-03-20 16:46:34.153,2025-03-20 16:47:12.383,0
22,,17,706,723,38.63,0,0,18.71,2025-03-20 16:46:34.195,2025-03-20 16:47:12.828,0
23,,85,740,825,40.32,0,0,20.46,2025-03-20 16:46:34.199,2025-03-20 16:47:14.515,0
24,,79,750,829,41.02,0,0,20.21,2025-03-20 16:46:33.988,2025-03-20 16:47:15.013,0
25,,73,763,836,41.49,0,0,20.15,2025-03-20 16:46:34.168,2025-03-20 16:47:15.659,0
26,,24,766,790,41.63,0,0,18.97,2025-03-20 16:46:34.174,2025-03-20 16:47:15.808,0
