测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,249,313,562,7.01,0,0,80.21,2025-03-20 13:50:06.502,2025-03-20 13:50:13.509,0
2,,49,323,372,7.15,0,0,52,2025-03-20 13:50:06.501,2025-03-20 13:50:13.655,0
3,,616,397,1013,16.18,0,0,62.6,2025-03-20 13:50:06.504,2025-03-20 13:50:22.687,0
4,,37,446,483,16.8,0,0,28.74,2025-03-20 13:50:06.505,2025-03-20 13:50:23.309,0
5,,45,366,411,24.26,0,0,16.94,2025-03-20 13:50:06.506,2025-03-20 13:50:30.763,0
6,,202,345,547,24.46,0,0,22.36,2025-03-20 13:50:06.507,2025-03-20 13:50:30.965,0
7,,78,267,345,30.16,0,0,11.44,2025-03-20 13:50:06.508,2025-03-20 13:50:36.665,0
8,,298,481,779,35.16,0,0,22.16,2025-03-20 13:50:06.509,2025-03-20 13:50:41.664,0
9,,109,312,421,37.07,0,0,11.36,2025-03-20 13:50:06.510,2025-03-20 13:50:43.583,0
10,,120,279,399,41.32,0,0,9.66,2025-03-20 13:50:06.509,2025-03-20 13:50:47.828,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,31.747,,,,
