测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,10,25,35,1.11,0,0,31.4,2025-03-20 15:09:12.504,2025-03-20 15:09:13.618,0
2,,24,716,740,26.31,0,0,28.13,2025-03-20 15:09:12.506,2025-03-20 15:09:38.814,0
3,,15,889,904,33.65,0,0,26.86,2025-03-20 15:09:12.501,2025-03-20 15:09:46.152,0
4,,68,25,93,34.65,0,0,2.68,2025-03-20 15:09:12.510,2025-03-20 15:09:47.156,0
5,,58,1021,1079,37.51,0,0,28.76,2025-03-20 15:09:12.495,2025-03-20 15:09:50.009,0
6,,68,1122,1190,41.11,0,0,28.95,2025-03-20 15:09:12.496,2025-03-20 15:09:53.608,0
7,,18,545,563,57.25,0,0,9.83,2025-03-20 15:09:12.514,2025-03-20 15:10:09.763,0
8,,98,850,948,57.26,0,0,16.56,2025-03-20 15:09:12.508,2025-03-20 15:10:09.765,0
9,,35,772,807,61.92,0,0,13.03,2025-03-20 15:09:12.512,2025-03-20 15:10:14.436,0
10,,18,752,770,66.38,0,0,11.6,2025-03-20 15:09:12.513,2025-03-20 15:10:18.898,0
,,,,,,,,,,,
,,,,,,,19.78,,,,
